Significant Variables - P Value < 0.001,,
INDIA,CHINA,United States
Elec_Capita_kWh,Elec_Capita_kWh,
Elec_Gen_TWh,Elec_Gen_TWh,Elec_Gen_TWh
Hydro_Elec_TWh,Hydro_Elec_Pct,Hydro_Elec_Pct
,Hydro_Elec_TWh,
Hydro_Energy_Pct,Hydro_Energy_Pct,Hydro_Energy_Pct
Hydro_Gen_TWh,Hydro_Gen_TWh,
Other_Renew_Elec_TWh,Other_Renew_Elec_TWh,Other_Renew_Elec_TWh
Other_Renew_Gen_TWh,Other_Renew_Gen_TWh,Other_Renew_Gen_TWh
Prim_Energy_Cons_TWh,Prim_Energy_Cons_TWh,Prim_Energy_Cons_TWh
Renew_Elec_Pct,,Renew_Elec_Pct
Renew_Energy_Pct,,Renew_Energy_Pct
Solar_Elec_Pct,Solar_Elec_Pct,Solar_Elec_Pct
Solar_Elec_TWh,Solar_Elec_TWh,Solar_Elec_TWh
Solar_Energy_Pct,Solar_Energy_Pct,Solar_Energy_Pct
Solar_Gen_TWh,Solar_Gen_TWh,Solar_Gen_TWh
Wind_Elec_Pct,Wind_Elec_Pct,Wind_Elec_Pct
Wind_Elec_TWh,Wind_Elec_TWh,Wind_Elec_TWh
Wind_Energy_Pct,Wind_Energy_Pct,Wind_Energy_Pct
Wind_Gen_TWh,Wind_Gen_TWh,Wind_Gen_TWh
